youtube_video_id,track_title,artist,vocalist,category,start_time,end_time,date
XHGbyPNRJ98,アトラクトライト (Attract Light),*Luna,渚トラウト,utamita,0,272,2025/07/15
yCsHIezujbM,少女レイ,みきとP,七瀬すず菜,utamita,0,289,2025/07/07
xGxZVVRQ3Qs,Mr. Showtime,ワンダーランズ×ショウタイム × 巡音ルカ,Speciale,utamita,0,230,2025/07/06
_6DnZ8QQehA,雨とカプチーノ,ヨルシカ,早乙女ベリー,utamita,0,270,2025/07/03
Z16drfKSqbc,かわいいだけじゃだめですか？,CUTIE STREET,雲母たまこ,utamita,0,252,2025/06/22
PKEbUUPNi3I,明日も,SHISHAMO,七瀬すず菜,utamita,0,365,2025/06/12
Q6QQ7_8iS0M,Gimme × Gimme,八王子P × Giga,"早乙女ベリー,渚トラウト",utamita,0,219,2025/06/01
l2bdTAXnwIc,Iなんです, 25時、ナイトコードで。 × 初音ミク  ,"七瀬すず菜,早乙女ベリー",utamita,0,148,2025/05/26
vSr8PqrXRHc,きゅうくらりん,いよわ feat.可不 ,雲母たまこ,utamita,0,216,2025/05/22
E7RueW5JtJ0,かわいいだけじゃだめですか？,CUTIE STREET,早乙女ベリー,utamita,0,251,2025/04/03
L-Dd4MsA_MM,God knows…,涼宮ハルヒ(CV:平野綾),早乙女ベリー,utamita,0,280,2025/03/29
KODwmaVh7tw,金曜日のおはよう,HoneyWorks feat.Gero  ,七瀬すず菜,utamita,0,241,2025/03/04
IIVlhMofUUk,ツインテールは20歳まで♡,きゅるりんってしてみて  ,早乙女ベリー,utamita,0,200,2025/02/18
pyoI3fh1KSs,Baby Sweet Berry Love,小倉唯,雲母たまこ,utamita,0,244,2025/02/16
GKCyuUkI7mI,にっこり^^調査隊のテーマ,ワンダーランズ×ショウタイム,Speciale,utamita,0,207,2025/02/13
u7h7UL9cR_g,シュガーソングとビターステップ,UNISON SQUARE GARDEN,Speciale,utamita,0,255,2025/02/01
QJwNMOA_174,Booo!,TOKOTOKO（西沢さんP）,七瀬すず菜,utamita,0,173,2025/01/08
oMqNleb1roQ,メイド☆至上主義,HoneyWorks,"七瀬すず菜,早乙女ベリー,雲母たまこ",utamita,0,146,2024/12/25
3T4C0m8bN3Y,スキスキ絶頂症,koyori(電ポルP),早乙女ベリー,utamita,0,214,2024/11/27
qSaaaTqOsvU,Yummy Yummy Yummy,FAKE TYPE,渚トラウト,utamita,0,169,2024/10/11
FBYCsB7i3rs,無題1,渚トラウト,渚トラウト,original,0,94,2024/08/31
v5ebL2NFJU0,くっきんどりーみんらんど,Speciale,Speciale,original,0,232,2024/08/16
kIahEyrR6c4,スイートマジック,ろん×Junky  ,七瀬すず菜,utamita,0,216,2024/08/16
migRSqMc2eI,ワールドイズマイン,ryo,早乙女ベリー,utamita,0,257,2024/08/16
U-26dr0TCaw,だいしきゅーだいしゅき,femme fatale,雲母たまこ,utamita,0,210,2024/08/16
Al2hm6tlsII,小さな恋のうた,MONGOL800,酒寄颯馬,utamita,0,219,2024/08/16
ZuWzbZG6Rf8,フライデー･ナイト,なとり,渚トラウト,utamita,0,178,2024/08/16
